loss,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
nan,0,23.637624979019165,False,,,1,81941287f8a940e58876d834591ca4ae,2021-02-27_15-31-45,1614439905,23.637624979019165,14847,instance-adlr-2,10.128.0.5,23.637624979019165,0,1,29818_00008
nan,1,17.949145078659058,False,,,2,81941287f8a940e58876d834591ca4ae,2021-02-27_15-32-03,1614439923,41.58677005767822,14847,instance-adlr-2,10.128.0.5,41.58677005767822,0,2,29818_00008
nan,2,17.964858055114746,False,,,3,81941287f8a940e58876d834591ca4ae,2021-02-27_15-32-21,1614439941,59.55162811279297,14847,instance-adlr-2,10.128.0.5,59.55162811279297,0,3,29818_00008
nan,3,17.7102210521698,False,,,4,81941287f8a940e58876d834591ca4ae,2021-02-27_15-32-39,1614439959,77.26184916496277,14847,instance-adlr-2,10.128.0.5,77.26184916496277,0,4,29818_00008
nan,4,17.923563241958618,False,,,5,81941287f8a940e58876d834591ca4ae,2021-02-27_15-32-57,1614439977,95.18541240692139,14847,instance-adlr-2,10.128.0.5,95.18541240692139,0,5,29818_00008
nan,5,18.18121027946472,False,,,6,81941287f8a940e58876d834591ca4ae,2021-02-27_15-33-15,1614439995,113.36662268638611,14847,instance-adlr-2,10.128.0.5,113.36662268638611,0,6,29818_00008
nan,6,17.79930830001831,False,,,7,81941287f8a940e58876d834591ca4ae,2021-02-27_15-33-33,1614440013,131.16593098640442,14847,instance-adlr-2,10.128.0.5,131.16593098640442,0,7,29818_00008
nan,7,16.954283952713013,False,,,8,81941287f8a940e58876d834591ca4ae,2021-02-27_15-33-50,1614440030,148.12021493911743,14847,instance-adlr-2,10.128.0.5,148.12021493911743,0,8,29818_00008
nan,8,16.224026918411255,False,,,9,81941287f8a940e58876d834591ca4ae,2021-02-27_15-34-06,1614440046,164.3442418575287,14847,instance-adlr-2,10.128.0.5,164.3442418575287,0,9,29818_00008
nan,9,16.601513862609863,False,,,10,81941287f8a940e58876d834591ca4ae,2021-02-27_15-34-23,1614440063,180.94575572013855,14847,instance-adlr-2,10.128.0.5,180.94575572013855,0,10,29818_00008
nan,10,16.958675384521484,True,,,11,81941287f8a940e58876d834591ca4ae,2021-02-27_15-34-40,1614440080,197.90443110466003,14847,instance-adlr-2,10.128.0.5,197.90443110466003,0,11,29818_00008
